chapter,1. Which story do you prefer/find more interesting Overall?  ,2.  Which story has richer expression?,3.  Which story has more specific situation descriptions?,4.  Which story has more natural dialogue descriptions?,,
1,Both are about equally good,story A,story A,story B, , 
1,story A,story A,story A,story A, , 
1,story B,story B,story B,story B, , 
2,story B,story B,story B,Both are about equally good, , 
2,story A,story A,story B,story A, , 
3,story A,Both are about equally good,story A,Both are about equally good, , 
3,story A,story A,story A,story B, , 
3,story A,story A,story B,story A, , 
4,story B,story B,story A,story A, , 
4,story B,story B,story B,story B, , 
4,story B,story B,story B,story B, , 
1,story A,story A,story A,"In either Story A or Story B, or both, the dialogue description is missing.", , 
1,story A,story A,story A,"In either Story A or Story B, or both, the dialogue description is missing.", , 
1,story B,story B,story B,story B, , 
2,story B,story A,story B,story B, , 
2,story B,story B,story B,Both are about equally good, , 
3,story A,story A,story A,story A, , 
3,story A,story A,story A,"In either Story A or Story B, or both, the dialogue description is missing.", , 
3,story B,story B,story B,story B, , 
4,story A,story B,story B,story A, , 
4,story B,Both are about equally good,story B,story B, , 
4,story B,story B,story B,story B, , 
1,story A,Both are about equally good,Neither is good,story A, , 
1,Both are about equally good,story B,story A,Neither is good, , 
1,story A,story A,story B,story A, , 
2,story B,story B,story B,story A, , 
2,story A,story A,story B,Neither is good, , 
3,story A,story A,story A,story A, , 
3,story A,story A,story A,"In either Story A or Story B, or both, the dialogue description is missing.", , 
3,story A,story B,story B,story A, , 
4,story B,story B,story B,story B, , 
4,story A,story A,story A,"In either Story A or Story B, or both, the dialogue description is missing.", , 
4,story B,story B,story B,story B, , 
1,story B,Neither is good,story A,"In either Story A or Story B, or both, the dialogue description is missing.", , 
1,story A,story A,story A,Neither is good, , 
1,story B,story B,story B,story B, , 
2,story A,story A,story A,Both are about equally good, , 
2,Both are about equally good,story B,story B,story A, , 
3,story A,story A,story A,"In either Story A or Story B, or both, the dialogue description is missing.", , 
3,story A,story A,story A,"In either Story A or Story B, or both, the dialogue description is missing.", , 
3,story A,story A,story A,story A, , 
4,story A,story A,story A,"In either Story A or Story B, or both, the dialogue description is missing.", , 
4,story A,story A,story A,"In either Story A or Story B, or both, the dialogue description is missing.", , 
4,story B,story B,story B,story A, , 
1,Neither is good,story A,story A,story B, , 
1,Both are about equally good,story A,story A,Both are about equally good, , 
1,story B,story B,story A,story B, , 
2,story A,story A,story A,story A, , 
2,story B,story B,story B,Both are about equally good, , 
3,story A,story A,story B,story B, , 
3,Both are about equally good,story A,story B,Both are about equally good, , 
3,story B,story B,story B,story B, , 
4,story B,story B,story B,story B, , 
4,story A,story A,story A,Both are about equally good, , 
4,story B,story B,story B,story A, , 
1,Neither is good,Both are about equally good,Neither is good,story B, , 
1,story B,story A,story A,"In either Story A or Story B, or both, the dialogue description is missing.", , 
1,Both are about equally good,Both are about equally good,story B,Both are about equally good, , 
2,story A,story A,story A,"In either Story A or Story B, or both, the dialogue description is missing.", , 
2,story A,Both are about equally good,story B,"In either Story A or Story B, or both, the dialogue description is missing.", , 
3,story A,story A,story A,Both are about equally good, , 
3,story A,story A,story A,Both are about equally good, , 
3,story B,story B,story B,story B, , 
4,story B,Both are about equally good,story B,story B, , 
4,story B,story B,story B,Both are about equally good, , 
4,story B,story B,story A,story A, , 
1,story B,Both are about equally good,Both are about equally good,story B, , 
1,story B,story A,story A,story A, , 
1,story A,story A,story B,story A, , 
2,story B,story B,story B,story A, , 
2,story A,story B,story B,Both are about equally good, , 
3,Both are about equally good,Both are about equally good,Both are about equally good,Both are about equally good, , 
3,story A,story A,story A,Both are about equally good, , 
3,story B,story B,story B,"In either Story A or Story B, or both, the dialogue description is missing.", , 
4,Both are about equally good,story B,story A,story A, , 
4,story B,story B,story B,story B, , 
4,story B,story B,story B,story B, , 
1,Neither is good,Both are about equally good,Both are about equally good,Both are about equally good, , 
1,story A,story A,story A,story A, , 
1,story B,story B,story B,story B, , 
2,story A,story A,story B,Both are about equally good, , 
2,story B,story B,Both are about equally good,story B, , 
3,story A,story A,story A,story A, , 
3,Both are about equally good,story A,story A,Both are about equally good, , 
3,story B,story B,story A,"In either Story A or Story B, or both, the dialogue description is missing.", , 
4,story B,story B,story B,story B, , 
4,story A,story A,story A,story A, , 
4,story B,story A,story B,story B, , 
1,story A,Both are about equally good,Both are about equally good,Both are about equally good, , 
1,story A,story A,story A,story A, , 
1,Both are about equally good,Both are about equally good,Both are about equally good,Both are about equally good, , 
2,story B,story B,story A,Both are about equally good, , 
2,story A,story A,Both are about equally good,story A, , 
3,story A,story A,story A,story A, , 
3,story A,story A,story A,Both are about equally good, , 
3,story A,story B,story B,story A, , 
4,story A,story B,story A,story A, , 
4,Neither is good,Neither is good,Neither is good,Both are about equally good, , 
4,story B,story B,story B,story A, , 
1,story B,story B,Both are about equally good,Neither is good, , 
1,story B,story B,story B,"In either Story A or Story B, or both, the dialogue description is missing.", , 
1,story A,story A,story A,story A, , 
2,story B,story B,story A,Both are about equally good, , 
2,story A,story A,Both are about equally good,story A, , 
3,Both are about equally good,Both are about equally good,Both are about equally good,Both are about equally good, , 
3,story B,story A,story A,"In either Story A or Story B, or both, the dialogue description is missing.", , 
3,story A,story B,story B,story B, , 
4,story A,story B,story B,story A, , 
4,story B,Neither is good,Neither is good,Both are about equally good, , 
4,story B,story B,story B,story B, , 
1,story B,Neither is good,Neither is good,"In either Story A or Story B, or both, the dialogue description is missing.", , 
1,story B,story B,story B,Neither is good, , 
1,story A,story A,story B,story A, , 
2,story B,story B,story A,Both are about equally good, , 
2,story A,Both are about equally good,story A,Both are about equally good, , 
3,story A,story B,story A,story A, , 
3,story B,story B,story B,Both are about equally good, , 
3,story B,story B,story B,Both are about equally good, , 
4,Both are about equally good,story B,story B,Both are about equally good, , 
4,story B,story B,story B,story B, , 
4,story B,story B,story B,story B, , 
1,story A,story A,story A,story A, , 
1,story B,story B,story B,Both are about equally good, , 
1,story A,story A,story B,story A, , 
2,story B,story B,story A,Both are about equally good, , 
2,story B,story B,Both are about equally good,story B, , 
3,story A,story A,story A,Both are about equally good, , 
3,story A,story A,story A,story A, , 
3,Both are about equally good,Both are about equally good,Both are about equally good,Both are about equally good, , 
4,story B,story B,story B,Both are about equally good, , 
4,story A,story A,story A,Both are about equally good, , 
4,story B,story B,story B,story A, , 
1,story A,Both are about equally good,Both are about equally good,Neither is good, , 
1,story B,story B,story B,story B, , 
1,story A,story A,story A,story A, , 
2,story A,story B,story A,story A, , 
2,story A,Both are about equally good,story A,story A, , 
3,story A,story A,story A,Both are about equally good, , 
3,story A,story A,story A,"In either Story A or Story B, or both, the dialogue description is missing.", , 
3,Both are about equally good,Both are about equally good,Both are about equally good,"In either Story A or Story B, or both, the dialogue description is missing.", , 
4,story A,story A,story A,story A, , 
4,story A,Both are about equally good,Both are about equally good,Both are about equally good, , 
4,story B,story B,story B,story B, , 
1,Neither is good,Both are about equally good,Both are about equally good,Neither is good, , 
1,story B,story A,story A,story A, , 
1,story A,story A,story B,story A, , 
2,story B,story B,story B,story A, , 
2,story B,Both are about equally good,story B,story B, , 
3,Both are about equally good,Both are about equally good,Both are about equally good,Both are about equally good, , 
3,Both are about equally good,Both are about equally good,Both are about equally good,Both are about equally good, , 
3,Both are about equally good,Both are about equally good,Both are about equally good,Both are about equally good, , 
4,Both are about equally good,story B,story B,Both are about equally good, , 
4,story B,Both are about equally good,Both are about equally good,Both are about equally good, , 
4,story B,story B,story B,story A, , 
1,story B,story B,story B,"In either Story A or Story B, or both, the dialogue description is missing.", , 
1,story A,story A,story B,story B, , 
1,story A,story B,story B,story A, , 
2,story B,story B,story B,story B, , 
2,story A,story B,Both are about equally good,story B, , 
3,Both are about equally good,Both are about equally good,Both are about equally good,Neither is good, , 
3,story B,story B,story A,"In either Story A or Story B, or both, the dialogue description is missing.", , 
3,story B,story B,story B,Both are about equally good, , 
4,story A,story B,story B,story A, , 
4,story B,story B,story B,"In either Story A or Story B, or both, the dialogue description is missing.", , 
4,story B,story B,story B,story B, , 
1,Both are about equally good,Both are about equally good,Both are about equally good,Neither is good, , 
1,story A,story A,story A,Neither is good, , 
1,story B,story B,story B,story B, , 
2,story B,story B,story B,story B, , 
2,story A,story A,story B,story A, , 
3,Both are about equally good,Both are about equally good,Both are about equally good,Both are about equally good, , 
3,story B,Both are about equally good,story A,"In either Story A or Story B, or both, the dialogue description is missing.", , 
3,story B,story B,story B,Both are about equally good, , 
4,Both are about equally good,story A,story A,story A, , 
4,story B,story B,story B,Both are about equally good, , 
4,story B,story B,story B,story A, , 
1,story B,story B,Both are about equally good,"In either Story A or Story B, or both, the dialogue description is missing.", , 
1,story A,Both are about equally good,Both are about equally good,Both are about equally good, , 
1,Both are about equally good,story A,story B,Both are about equally good, , 
2,story B,story B,story B,Neither is good, , 
2,story B,story B,story B,Both are about equally good, , 
3,Both are about equally good,story A,story B,story A, , 
3,story A,story A,story B,"In either Story A or Story B, or both, the dialogue description is missing.", , 
3,story B,story B,story B,story B, , 
4,story B,story B,story B,story B, , 
4,story A,story B,story B,"In either Story A or Story B, or both, the dialogue description is missing.", , 
4,story B,story A,story B,story A, , 
1,Neither is good,Neither is good,Both are about equally good,Neither is good, , 
1,story A,story A,story A,Neither is good, , 
1,Both are about equally good,Both are about equally good,Both are about equally good,Both are about equally good, , 
2,story A,story A,story A,story B, , 
2,story B,Both are about equally good,story B,story B, , 
3,story A,story A,story A,story A, , 
3,story A,story A,story A,"In either Story A or Story B, or both, the dialogue description is missing.", , 
3,Both are about equally good,Both are about equally good,Both are about equally good,Both are about equally good, , 
4,story A,Both are about equally good,story A,story A, , 
4,story B,story B,story B,story B, , 
4,story B,story B,story B,story B, , 
1,story A,story A,story A,Neither is good, , 
1,story A,story A,story A,story A, , 
1,story B,story B,story B,story B, , 
2,story B,story B,story B,story A, , 
2,story B,Both are about equally good,story B,Both are about equally good, , 
3,story B,story A,story A,story A, , 
3,story A,story A,story A,Both are about equally good, , 
3,Both are about equally good,story B,story B,"In either Story A or Story B, or both, the dialogue description is missing.", , 
4,story B,story B,story B,Both are about equally good, , 
4,Both are about equally good,Both are about equally good,Both are about equally good,Both are about equally good, , 
4,story B,story B,story B,story A, , 
1,story B,Both are about equally good,Both are about equally good,story B, , 
1,story A,story A,story A,Both are about equally good, , 
1,story A,story A,story A,story A, , 
2,story A,story A,story A,story B, , 
2,story B,Neither is good,story B,story B, , 
3,Both are about equally good,Both are about equally good,Both are about equally good,Both are about equally good, , 
3,Both are about equally good,story B,story B,"In either Story A or Story B, or both, the dialogue description is missing.", , 
3,Both are about equally good,story B,story B,"In either Story A or Story B, or both, the dialogue description is missing.", , 
4,story A,story A,story B,story A, , 
4,story B,story B,story B,story B, , 
4,story B,story B,story B,story A, , 
1,story B,Both are about equally good,story B,Neither is good, , 
1,story A,story A,story A,story A, , 
1,Both are about equally good,Both are about equally good,Both are about equally good,Both are about equally good, , 
2,Both are about equally good,story B,story B,story B, , 
2,story B,story B,story B,story B, , 
3,story A,story A,story A,story A, , 
3,story A,story A,story A,Both are about equally good, , 
3,story B,story B,story B,"In either Story A or Story B, or both, the dialogue description is missing.", , 
4,story B,Both are about equally good,Both are about equally good,story B, , 
4,Both are about equally good,Both are about equally good,Both are about equally good,Both are about equally good, , 
4,story B,story B,story B,story A, , 
1,story B,story B,story B,story B, , 
1,story A,story A,story A,story B, , 
1,story B,story B,story B,Both are about equally good, , 
2,story B,story B,story B,story B, , 
2,story B,story B,Both are about equally good,story B, , 
3,story A,story A,story B,story B, , 
3,story A,story A,story A,story B, , 
3,Both are about equally good,Both are about equally good,Both are about equally good,Both are about equally good, , 
4,story B,story A,story A,story A, , 
4,Both are about equally good,Both are about equally good,Both are about equally good,"In either Story A or Story B, or both, the dialogue description is missing.", , 
4,story B,story A,story B,story A, , 
1,story B,story B,story B,"In either Story A or Story B, or both, the dialogue description is missing.", , 
1,story A,story A,story A,story B, , 
1,story A,story A,story B,Both are about equally good, , 
2,story B,story B,story B,story A, , 
2,story A,Both are about equally good,story B,story A, , 
3,story A,story A,story A,story A, , 
3,story A,story A,story A,Both are about equally good, , 
3,story A,Both are about equally good,story B,"In either Story A or Story B, or both, the dialogue description is missing.", , 
4,story B,story B,story B,story B, , 
4,story B,story B,story B,"In either Story A or Story B, or both, the dialogue description is missing.", , 
4,story B,story A,story B,story A, , 
1,Neither is good,story B,story B,Neither is good, , 
1,story B,story B,story B,story A, , 
1,story B,story B,story B,story B, , 
2,story B,story B,story A,story A, , 
2,story B,Both are about equally good,story B,story B, , 
3,Both are about equally good,Both are about equally good,Both are about equally good,Both are about equally good, , 
3,story A,story A,story A,Neither is good, , 
3,Both are about equally good,story B,story B,"In either Story A or Story B, or both, the dialogue description is missing.", , 
4,story A,story A,story A,story A, , 
4,story B,Both are about equally good,story B,Both are about equally good, , 
4,story B,story B,story B,story B, , 
1,Neither is good,Both are about equally good,Both are about equally good,Both are about equally good, , 
1,story B,story B,story A,story B, , 
1,story A,story B,story B,story A, , 
2,story B,story B,story A,Both are about equally good, , 
2,story B,story B,story B,story B, , 
3,story A,story A,story A,story B, , 
3,story B,Both are about equally good,Both are about equally good,Neither is good, , 
3,story B,Both are about equally good,story B,"In either Story A or Story B, or both, the dialogue description is missing.", , 
4,Both are about equally good,story B,story B,story B, , 
4,story B,story B,Both are about equally good,Both are about equally good, , 
4,story B,story B,story B,story A, , 
2,story A,story B,story B,story A, , 
2,story A,story A,story B,story A, , 
2,story A,story A,story A,story A, , 
2,story A,story B,story A,story B, , 
2,story A,story A,story A,story A, , 
2,story B,story A,story B,Both are about equally good, , 
2,story A,story A,story A,story A, , 
2,story A,story B,story A,story B, , 
2,story B,story B,Both are about equally good,story B, , 
2,Both are about equally good,story A,Both are about equally good,story A, , 
2,Both are about equally good,story B,story A,story B, , 
2,story A,story A,Both are about equally good,story A, , 
2,story B,Both are about equally good,Both are about equally good,story A, , 
2,Both are about equally good,story A,story A,Both are about equally good, , 
2,Both are about equally good,story B,Both are about equally good,Both are about equally good, , 
2,story A,Both are about equally good,story A,story A, , 
2,Both are about equally good,story A,story B,story A, , 
2,story B,story B,story A,story B, , 
2,story B,story B,story B,story B, , 
2,Both are about equally good,story A,Both are about equally good,story B, , 
2,story B,story B,story A,story B, , 
2,Both are about equally good,story B,Both are about equally good,Both are about equally good, , 
2,story B,Both are about equally good,Both are about equally good,story A, , 
2,Both are about equally good,story B,story A,story B, , 
2,story B,story B,Both are about equally good,story B, , 
,,,,, , 
,,,,, , 
,,,,, , 
,,,,, , 
